"rel_time_event","event_prob","strata"
0.931,0.979166666666667,"180"
0.9844,1,"180"
0,0.642857142857143,"365"
0.0226000000000001,0.666666666666667,"365"
0.0286000000000001,0.69047619047619,"365"
0.0941,0.714285714285714,"365"
0.2784,0.738095238095238,"365"
0.3114,0.761904761904762,"365"
0.339,0.785714285714286,"365"
0.5146,0.80952380952381,"365"
0.5607,0.833333333333333,"365"
0.5725,0.857142857142857,"365"
0.6665,0.880952380952381,"365"
0.7651,0.904761904761905,"365"
0.7735,0.928571428571429,"365"
0.7865,0.952380952380952,"365"
0.7896,0.976190476190476,"365"
0.8008,1,"365"
0,0.605263157894737,"730"
0.0129,0.631578947368421,"730"
0.0322,0.657894736842105,"730"
0.0502999999999999,0.684210526315789,"730"
0.1131,0.710526315789474,"730"
0.1716,0.736842105263158,"730"
0.2607,0.763157894736842,"730"
0.2749,0.789473684210526,"730"
0.3779,0.815789473684211,"730"
0.4148,0.842105263157895,"730"
0.4504,0.868421052631579,"730"
0.5734,0.894736842105263,"730"
0.6799,0.921052631578947,"730"
0.8468,0.947368421052632,"730"
0.9607,0.973684210526316,"730"
0.9977,1,"730"
0,0.766666666666667,"1825"
0.001,0.8,"1825"
0.0131,0.833333333333333,"1825"
0.0837,0.866666666666667,"1825"
0.107,0.9,"1825"
0.1297,0.933333333333333,"1825"
0.4607,0.966666666666667,"1825"
0.6866,1,"1825"
0,0.666666666666667,"99999"
0.0105000000000001,0.75,"99999"
0.0289,0.833333333333333,"99999"
0.0572999999999999,0.916666666666667,"99999"
0.5221,1,"99999"
