"hazard","offers_before_rescue","strata"
0.107901742071052,3,"d_bloodgroup=AB, donor_country=Austria"
0.199778324837996,4,"d_bloodgroup=AB, donor_country=Austria"
0,1,"d_bloodgroup=AB, donor_country=Netherlands"
0.207325510213059,8,"d_bloodgroup=AB, donor_country=Netherlands"
0.540895635429323,10,"d_bloodgroup=AB, donor_country=Netherlands"
0,1,"d_bloodgroup=AB, donor_country=Hungary"
0.0378172731945506,2,"d_bloodgroup=AB, donor_country=Hungary"
0.597684069304382,6,"d_bloodgroup=AB, donor_country=Hungary"
0,1,"d_bloodgroup=AB, donor_country=Croatia"
0.10713648925878,4,"d_bloodgroup=AB, donor_country=Croatia"
0.316570938165811,6,"d_bloodgroup=AB, donor_country=Croatia"
1.29353816841903,7,"d_bloodgroup=AB, donor_country=Croatia"
0,1,"d_bloodgroup=AB, donor_country=Slovenia"
0.0946675659644787,2,"d_bloodgroup=AB, donor_country=Slovenia"
0.238527168843353,5,"d_bloodgroup=AB, donor_country=Slovenia"
