from_hospital,to_center,driving_distance
465,GHGTP,323.051
465,GHOTP,173.418
465,GHSTP,383.12
465,GJETP,335.363
465,GKITP,404.505
465,GKLTP,138.127
465,GLPTP,425.646
465,GMBTP,314.156
465,GMHTP,615.036
465,GMLTP,640.214
465,GMNTP,48.147
465,GMZTP,299.691
465,GNBTP,426.125
465,GRBTP,546.621
465,GROTP,490.511
465,GTUTP,487.15
465,GWZTP,345.86
465,HBSTP,1194.099
465,NGRTP,237.346
465,NLBTP,291.487
465,NRDTP,292.923
465,SLOTP,1025.663
196,AGATP,1156.548
196,AIBTP,1014.182
196,AWGTP,1019.681
196,BANTP,615.489
196,BBRTP,658.941
196,BGETP,666.818
196,BLATP,648.742
196,BLGTP,599.701
196,BLMTP,631.212
196,CZATP,1338.96
196,CZMTP,1337.378
196,CZPTP,1338.96
196,GAKTP,542.562
196,GBCTP,304.592
196,GBOTP,522.101
196,GESTP,422.591
196,GFMTP,551.883
196,GGOTP,319.015
196,GHBTP,630.584
196,GHGTP,65.936
196,GHOTP,208.398
196,GHSTP,698.602
196,GJETP,522.361
196,GKITP,52.284
196,GKLTP,483.219
196,GLPTP,451.849
196,GMBTP,340.36
196,GMHTP,846.485
196,GMLTP,862.468
196,GMNTP,336.426
196,GMZTP,584.017
196,GNBTP,644.006
196,GRBTP,761.746
196,GROTP,150.274
196,GTUTP,760.706
196,GWZTP,563.742
196,HBSTP,1220.302
196,NGRTP,351.069
196,NLBTP,559.621
196,NRDTP,558.231
196,SLOTP,1257.111
1314,AGATP,2285.451
1314,AIBTP,2143.085
1314,AWGTP,2148.584
1314,BANTP,1733.452
1314,BBRTP,1776.905
1314,BGETP,1784.781
1314,BLATP,1766.706
1314,BLGTP,1717.664
1314,BLMTP,1749.175
1314,CZATP,2467.863
1314,CZMTP,2466.281
1314,CZPTP,2467.863
1314,GAKTP,1660.525
1314,GBCTP,1457.319
1314,GBOTP,1640.064
1314,GESTP,1540.554
1314,GFMTP,1680.786
1314,GGOTP,1447.918
1314,GHBTP,1759.487
1314,GHGTP,1179.197
1314,GHOTP,1337.301
1314,GHSTP,1827.506
