from_hospital,to_center,total_time_byplane
1283,HBSTP,2.8274867894244293
1283,NGRTP,1.4049999999999998
1283,NLBTP,1.8300098926538393
1283,NRDTP,1.4950098926538393
1283,SLOTP,2.72102995073966
1211,AGATP,2.373369320220937
1211,AIBTP,1.7904882881356425
1211,AWGTP,2.6527188519259965
1211,BANTP,1.3820214220060574
1211,BBRTP,1.5523270429701184
1211,BGETP,1.911353492243935
1211,BLATP,1.2823270429701183
1211,BLGTP,1.5691700892532605
1211,BLMTP,1.4706603763034514
1211,CZATP,2.535284248763561
1211,CZMTP,2.493617582096894
1211,CZPTP,2.535284248763561
1211,GAKTP,1.270066505770171
1211,GBCTP,2.337933829600271
1211,GBOTP,1.680121718907316
1211,GESTP,1.4912048524198611
1211,GFMTP,1.670098685472722
1211,GGOTP,2.3083509165262104
1211,GHBTP,1.6025094748215412
1211,GHGTP,1.7535359848109833
1211,GHOTP,1.823558333666543
1211,GHSTP,1.7362944070064625
1211,GJETP,2.459513213882902
1211,GKITP,1.825556916470445
1211,GKLTP,1.580121718907316
1211,GLPTP,1.9543113480784822
1211,GMBTP,1.724879511143468
1211,GMHTP,2.1631546751487463
1211,GMLTP,2.3248213418154133
1211,GMNTP,1.6395306791595858
1211,GMZTP,1.858432018806055
1211,GNBTP,1.8626954231685473
1211,GRBTP,2.7614880084820763
1211,GROTP,2.265511565315109
1211,GTUTP,1.9568462138089033
1211,GWZTP,2.8676954231685476
1211,HBSTP,2.7007152385712945
1211,NGRTP,1.6478335111834828
1211,NLBTP,1.7030219379857456
1211,NRDTP,1.3680219379857457
1211,SLOTP,2.4918206256609814
1210,AGATP,2.5064320913798683
1210,AIBTP,1.9484545304371403
1210,AWGTP,2.7629263132028665
1210,BANTP,1.3785037439678396
1210,BBRTP,1.5959340987663178
1210,BGETP,1.8926302069164511
1210,BLATP,1.3259340987663177
1210,BLGTP,1.7199175355448362
1210,BLMTP,1.5142674320996508
1210,CZATP,2.6771655241206607
1210,CZMTP,2.6354988574539937
1210,CZPTP,2.6771655241206607
1210,GAKTP,1.430710110041026
1210,GBCTP,2.342626954864535
1210,GBOTP,1.8057605688519192
1210,GESTP,1.5719800824210604
1210,GFMTP,1.8111480002384055
1210,GGOTP,2.3606950989174047
1210,GHBTP,1.7589785504208897
1210,GHGTP,1.6675255739125119
1210,GHOTP,1.8016113241069776
1210,GHSTP,1.9076025449513012
1210,GJETP,2.5297512991753797
1210,GKITP,1.7106852156748924
1210,GKLTP,1.7057605688519193
1210,GLPTP,1.9988946394669358
1210,GMBTP,1.7385465257591683
1210,GMHTP,2.3048007796904013
1210,GMLTP,2.4664674463570684
1210,GMNTP,1.6123980325201395
1210,GMZTP,1.9994813335717385
1210,GNBTP,1.9875107548442346
1210,GRBTP,2.9031341130237314
1210,GROTP,2.1996360915825415
1210,GTUTP,2.117244024650888
1210,GWZTP,2.9925107548442345
1210,HBSTP,2.8057624792304305
1210,NGRTP,1.4841694723150338
1210,NLBTP,1.5343167664329376
1210,NRDTP,1.1993167664329376
1210,SLOTP,2.638921151080056
172,AGATP,2.5186631762102323
172,AIBTP,1.921286599658686
