from_hospital,to_center,driving_time
257,GHSTP,4.36475
257,GJETP,2.8049999999999997
257,GKITP,2.453666666666669
257,GKLTP,2.8956666666666693
257,GLPTP,2.23975
257,GMBTP,1.3472499999999998
257,GMHTP,5.3748333333333305
257,GMLTP,5.532083333333331
257,GMNTP,1.9280833333333305
257,GMZTP,3.4127499999999995
257,GNBTP,3.8731666666666698
257,GRBTP,4.711833333333331
257,GROTP,3.0033333333333303
257,GTUTP,5.04758333333333
257,GWZTP,3.2314166666666693
257,HBSTP,8.762083333333305
257,NGRTP,2.8786666666666694
257,NLBTP,4.216
257,NRDTP,4.20183333333333
257,SLOTP,9.01
449,AGATP,8.832916666666694
449,AIBTP,7.171166666666669
449,AWGTP,8.745083333333305
449,BANTP,2.6165833333333306
449,BBRTP,3.05008333333333
449,BGETP,3.0699166666666695
449,BLATP,2.7950833333333303
449,BLGTP,2.38425
449,BLMTP,2.649166666666669
449,CZATP,10.551333333333305
449,CZMTP,10.511666666666693
449,CZPTP,10.551333333333305
449,GAKTP,1.7934999999999999
449,GBCTP,4.284
449,GBOTP,1.6433333333333304
449,GESTP,0.8967499999999999
449,GFMTP,2.80925
449,GGOTP,2.78233333333333
449,GHBTP,3.28525
449,GHGTP,2.8021666666666696
449,GHOTP,2.125
449,GHSTP,3.7145
449,GJETP,4.051666666666669
449,GKITP,3.4835833333333306
449,GKLTP,1.4195
449,GLPTP,4.050249999999999
449,GMBTP,3.1577499999999996
449,GMHTP,5.96558333333333
449,GMLTP,6.042083333333331
449,GMNTP,0.697
449,GMZTP,2.8078333333333307
449,GNBTP,4.448333333333331
449,GRBTP,5.398916666666669
449,GROTP,4.11966666666667
449,GTUTP,4.65941666666667
449,GWZTP,3.7272499999999997
449,HBSTP,10.572583333333306
449,NGRTP,1.6915
449,NLBTP,2.39133333333333
449,NRDTP,2.3715
449,SLOTP,9.602166666666696
465,AGATP,8.13025
465,AIBTP,6.52233333333333
465,AWGTP,8.04383333333333
465,BANTP,2.8432500000000003
465,BBRTP,3.2781666666666696
465,BGETP,3.2965833333333303
465,BLATP,3.0203333333333306
465,BLGTP,2.5358333333333305
465,BLMTP,2.8744166666666695
465,CZATP,9.850083333333304
465,CZMTP,9.809
465,CZPTP,9.850083333333304
465,GAKTP,1.9450833333333304
465,GBCTP,3.7725833333333303
465,GBOTP,1.7297500000000001
465,GESTP,0.9916666666666696
465,GFMTP,2.6165833333333306
465,GGOTP,2.0201666666666696
465,GHBTP,3.1889166666666693
465,GHGTP,2.7809166666666694
465,GHOTP,1.6135833333333305
465,GHSTP,3.78675
465,GJETP,3.2895
465,GKITP,3.46233333333333
465,GKLTP,1.5045
465,GLPTP,3.5388333333333306
465,GMBTP,2.6463333333333305
465,GMHTP,5.26433333333333
465,GMLTP,5.393249999999999
465,GMNTP,0.561
465,GMZTP,2.8616666666666695
465,GNBTP,3.686166666666669
465,GRBTP,4.69625
465,GROTP,4.09841666666667
465,GTUTP,4.561666666666669
465,GWZTP,3.0444166666666694
465,HBSTP,10.061166666666695
465,NGRTP,2.3729166666666694
465,NLBTP,2.8772499999999996
465,NRDTP,2.857416666666669
465,SLOTP,8.8995
196,AGATP,9.797666666666695
196,AIBTP,8.541083333333304
196,AWGTP,9.051083333333304
196,BANTP,5.403166666666669
196,BBRTP,5.8366666666666696
196,BGETP,5.85508333333333
196,BLATP,5.58025
196,BLGTP,5.169416666666669
196,BLMTP,5.43575
196,CZATP,11.516083333333304
196,CZMTP,11.476416666666696
196,CZPTP,11.516083333333304
196,GAKTP,4.5786666666666695
196,GBCTP,2.7596666666666696
196,GBOTP,4.429916666666669
196,GESTP,3.5855833333333305
196,GFMTP,5.015000000000001
196,GGOTP,3.1166666666666694
196,GHBTP,5.58875
196,GHGTP,0.7947500000000001
196,GHOTP,1.9819166666666694
196,GHSTP,6.2135
196,GJETP,4.444083333333331
196,GKITP,0.678583333333333
196,GKLTP,4.204666666666669
196,GLPTP,3.8788333333333305
196,GMBTP,2.9863333333333304
196,GMHTP,7.0139166666666695
196,GMLTP,7.171166666666669
